ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp
2017-12-01 15:47:27+00:00,"iOS 11.1.2 (iPhone9,4)",238666,US,Know,NF,Perception,spotify:track:3MFyER5LVCQNaUtipifGD7,trackdone,trackdone,False,False,False,
2017-12-01 15:50:56+00:00,"iOS 11.1.2 (iPhone9,4)",209213,US,Lie,NF,Perception,spotify:track:07FkzikE6FuHIa8Ma7zJGc,trackdone,trackdone,False,False,False,
2017-12-01 15:54:35+00:00,"iOS 11.1.2 (iPhone9,4)",218200,US,3 A.M.,NF,Perception,spotify:track:1CDPxTsKRhI0wWel01w4Vy,trackdone,trackdone,False,False,False,
2017-12-01 15:57:47+00:00,"iOS 11.1.2 (iPhone9,4)",192800,US,One Hundred,NF,Perception,spotify:track:0zdycLZKxVZ3EA8Nuxo35M,trackdone,trackdone,False,False,False,
2017-12-01 16:01:20+00:00,"iOS 11.1.2 (iPhone9,4)",212186,US,Outro,NF,Perception,spotify:track:7uax1a1G4cg1GgokfakTnN,trackdone,trackdone,False,False,False,
2017-12-01 16:04:32+00:00,"iOS 11.1.2 (iPhone9,4)",191331,US,Hardwired,Metallica,Hardwired…To Self-Destruct (Deluxe),spotify:track:08ZZqyOaZ4ntAmBY6A32qL,trackdone,trackdone,False,False,False,
2017-12-01 16:22:25+00:00,"iOS 11.1.2 (iPhone9,4)",388624,US,"Atlas, Rise!",Metallica,Hardwired…To Self-Destruct (Deluxe),spotify:track:1CvoQuE26MBLWQp9UNB8w8,trackdone,trackdone,False,False,False,
2017-12-01 16:24:40+00:00,"iOS 11.1.2 (iPhone9,4)",133667,US,Now That We're Dead,Metallica,Hardwired…To Self-Destruct (Deluxe),spotify:track:2qH3RhOkM7rua2M5PW8T8A,trackdone,endplay,False,False,False,
2017-12-01 16:29:29+00:00,"iOS 11.1.2 (iPhone9,4)",218320,US,rockstar,Post Malone,rockstar,spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,clickrow,trackdone,False,False,False,
2017-12-01 16:33:18+00:00,"iOS 11.1.2 (iPhone9,4)",228080,US,Wanted You (feat. Lil Uzi Vert),NAV,Wanted You (feat. Lil Uzi Vert),spotify:track:790MhTXPFrYkrqCKvpg4t1,trackdone,trackdone,False,False,False,
2017-12-01 16:36:11+00:00,"iOS 11.1.2 (iPhone9,4)",172800,US,Ric Flair Drip (with Metro Boomin),Offset,Without Warning,spotify:track:7sO5G9EABYOXQKNPNiE9NR,trackdone,trackdone,False,False,False,
2017-12-01 16:39:19+00:00,"iOS 11.1.2 (iPhone9,4)",187453,US,Betrayed,Lil Xan,Betrayed,spotify:track:6NWl2m8asvH83xjuXVNsuG,trackdone,trackdone,False,False,False,
2017-12-01 16:45:16+00:00,"iOS 11.1.2 (iPhone9,4)",229573,US,Candy Paint,Post Malone,Candy Paint,spotify:track:42CeaId2XNlxugDvyqHfDf,trackdone,trackdone,False,False,False,
2017-12-01 16:52:22+00:00,"iOS 11.1.2 (iPhone9,4)",245386,US,No Limit,G-Eazy,No Limit,spotify:track:2Xqd0wUttjueBfdcltADOv,trackdone,trackdone,False,False,False,
2017-12-01 16:54:26+00:00,"iOS 11.1.2 (iPhone9,4)",124055,US,Gucci Gang,Lil Pump,Gucci Gang,spotify:track:6foxplXS0YEq8cO374Lty4,trackdone,trackdone,False,False,False,
2017-12-01 16:58:55+00:00,"iOS 11.1.2 (iPhone9,4)",268863,US,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Lil Uzi Vert,The Way Life Goes (feat. Nicki Minaj & Oh Wonder),spotify:track:6GNifiuBPrKFpwNBYnooFm,trackdone,trackdone,False,False,False,
2017-12-01 17:04:04+00:00,"iOS 11.1.2 (iPhone9,4)",307660,US,MotorSport,Migos,MotorSport,spotify:track:1YZfcVLbbJwfizR5cDOp3q,trackdone,trackdone,False,False,False,
2017-12-01 20:33:12+00:00,"iOS 11.1.2 (iPhone9,4)",146520,US,Fuck Love,XXXTENTACION,17,spotify:track:7AQim7LbvFVZJE3O8TYgf2,trackdone,trackdone,False,False,False,
2017-12-01 20:36:33+00:00,"iOS 11.1.2 (iPhone9,4)",173600,US,Plain Jane,A$AP Ferg,Still Striving,spotify:track:4dVpf9jZjcORqGTLUaeYj9,trackdone,trackdone,False,False,False,
2017-12-01 20:36:33+00:00,"iOS 11.1.2 (iPhone9,4)",24120,US,Downtown,Anitta,Downtown,spotify:track:3Ga6eKrUFf12ouh9Yw3v2D,trackdone,fwdbtn,False,False,False,
2017-12-01 20:38:01+00:00,"iOS 11.1.2 (iPhone9,4)",24120,US,Downtown,Anitta,Downtown,spotify:track:3Ga6eKrUFf12ouh9Yw3v2D,trackdone,fwdbtn,False,False,False,
2017-12-01 20:38:01+00:00,"iOS 11.1.2 (iPhone9,4)",173600,US,Plain Jane,A$AP Ferg,Still Striving,spotify:track:4dVpf9jZjcORqGTLUaeYj9,trackdone,trackdone,False,False,False,
2017-12-01 21:01:41+00:00,"iOS 11.1.2 (iPhone9,4)",213132,US,Roll in Peace (feat. XXXTENTACION),Kodak Black,Project Baby 2: All Grown Up,spotify:track:40oKW22ZNNkEdZLJTScaQI,trackdone,trackdone,False,False,True,1512161517705.0
